" ","  "
"שם לקוח","כתובת"
" "," "
"צביקה וינשטוק","16 יסמין הוד השרון"
" ","  "
"קוד מונה","מספר מונה"
" "," "," "
"       503","  24609368",
"______________________","___________________________","_____________"
" ","  ","  "
"תאריך","מועד תחילת הפעימה","צריכה בקוט""ש"
" "," "," "
"22/05/2024","11:00",.03
"22/05/2024","11:15",.574
"22/05/2024","11:30",.207
"22/05/2024","11:45",.075
"22/05/2024","12:00",.096
"22/05/2024","12:15",.272
"22/05/2024","12:30",.277
"22/05/2024","12:45",.274
"22/05/2024","13:00",.271
"22/05/2024","13:15",.27
"22/05/2024","13:30",.188
"22/05/2024","13:45",.087
"22/05/2024","14:00",.27
"22/05/2024","14:15",.208
"22/05/2024","14:30",.311
"22/05/2024","14:45",.306
"22/05/2024","15:00",.302
"22/05/2024","15:15",.319
"22/05/2024","15:30",.339
"22/05/2024","15:45",.377
"22/05/2024","16:00",.64
"22/05/2024","16:15",.623
"22/05/2024","16:30",.497
"22/05/2024","16:45",.295
"22/05/2024","17:00",.793
"22/05/2024","17:15",.933
"22/05/2024","17:30",.867
"22/05/2024","17:45",.901
"22/05/2024","18:00",.614
"22/05/2024","18:15",.167
"22/05/2024","18:30",.086
"22/05/2024","18:45",.055
"22/05/2024","19:00",.06
"22/05/2024","19:15",.055
"22/05/2024","19:30",.074
"22/05/2024","19:45",.094
"22/05/2024","20:00",.14
"22/05/2024","20:15",.286
"22/05/2024","20:30",.315
"22/05/2024","20:45",.217
"22/05/2024","21:00",.19
"22/05/2024","21:15",.191
"22/05/2024","21:30",.541
"22/05/2024","21:45",.773
"22/05/2024","22:00",.729
"22/05/2024","22:15",.709
"22/05/2024","22:30",.73
"22/05/2024","22:45",.798
"22/05/2024","23:00",.785
"22/05/2024","23:15",.31
"22/05/2024","23:30",.283
"22/05/2024","23:45",.277
"23/05/2024","00:00",.276
"23/05/2024","00:15",.277
"23/05/2024","00:30",.264
"23/05/2024","00:45",.261
"23/05/2024","01:00",.264
"23/05/2024","01:15",.261
"23/05/2024","01:30",.259
"23/05/2024","01:45",.264
"23/05/2024","02:00",.235
"23/05/2024","02:15",.311
"23/05/2024","02:30",.232
"23/05/2024","02:45",.228
"23/05/2024","03:00",.226
"23/05/2024","03:15",.226
"23/05/2024","03:30",.232
"23/05/2024","03:45",.226
"23/05/2024","04:00",.224
"23/05/2024","04:15",.186
"23/05/2024","04:30",.163
"23/05/2024","04:45",.164
"23/05/2024","05:00",.182
"23/05/2024","05:15",.221
"23/05/2024","05:30",.218
"23/05/2024","05:45",.216
"23/05/2024","06:00",.205
"23/05/2024","06:15",.211
"23/05/2024","06:30",.217
"23/05/2024","06:45",.211
"23/05/2024","07:00",.255
"23/05/2024","07:15",.288
"23/05/2024","07:30",.228
"23/05/2024","07:45",.244
"23/05/2024","08:00",.151
"23/05/2024","08:15",.051
"23/05/2024","08:30",.059
"23/05/2024","08:45",.051
"23/05/2024","09:00",.052
"23/05/2024","09:15",.051
"23/05/2024","09:30",.046
"23/05/2024","09:45",.049
